id,layer,x,y,w,d,color,part,role
116,1,65,39,4,1,Black,3010,wall
117,1,69,39,4,1,Black,3010,wall
118,1,73,39,3,1,Black,3622,wall
119,1,15,40,4,1,Black,3010,wall
120,1,20,40,4,1,Black,3010,wall
121,1,24,40,1,1,Black,3005,wall
122,1,26,40,3,1,Black,3622,wall
123,1,60,40,1,4,Black,3010,wall
124,1,15,41,1,4,Black,3010,wall
125,1,20,41,1,3,Black,3622,wall
126,1,23,41,1,4,Black,3010,wall
127,1,25,41,1,4,Black,3010,wall
128,1,28,41,1,3,Black,3622,wall
129,1,34,41,1,4,Black,3010,wall
130,1,21,43,2,1,Black,3004,wall
131,1,24,44,1,1,Black,3005,wall
132,1,26,44,2,1,Black,3004,wall
133,1,60,44,1,4,Black,3010,wall
134,1,15,45,1,4,Black,3010,wall
135,1,20,45,1,4,Black,3010,wall
136,1,23,45,1,4,Black,3010,wall
137,1,28,45,1,4,Black,3010,wall
138,1,34,45,1,3,Black,3622,wall
139,1,16,48,4,1,Black,3010,wall
140,1,21,48,2,1,Black,3004,wall
141,1,24,48,4,1,Black,3010,wall
142,1,31,48,2,1,Black,3004,wall
143,1,35,48,1,1,Black,3005,wall
144,1,60,48,1,4,Black,3010,wall
145,1,34,49,1,4,Black,3010,wall
146,1,60,52,1,4,Black,3010,wall
147,1,34,53,1,3,Black,3622,wall
148,1,35,55,4,1,Black,3010,wall
149,1,39,55,4,1,Black,3010,wall
150,1,43,55,4,1,Black,3010,wall
151,1,47,55,4,1,Black,3010,wall
152,1,51,55,4,1,Black,3010,wall
153,1,55,55,4,1,Black,3010,wall
154,1,59,55,1,1,Black,3005,wall
155,2,15,15,1,4,Black,3010,wall
156,2,15,19,1,4,Black,3010,wall
157,2,15,23,1,4,Black,3010,wall
158,2,15,27,1,4,Black,3010,wall
159,2,15,31,1,4,Black,3010,wall
160,2,15,35,1,3,Black,3622,wall
161,2,15,40,1,4,Black,3010,wall
162,2,15,44,1,4,Black,3010,wall
163,2,15,48,1,1,Black,3005,wall
164,2,16,15,4,1,Black,3010,wall
165,2,16,19,4,1,Black,3010,wall
166,2,16,24,4,1,Black,3010,wall
167,2,16,31,4,1,Black,3010,wall
168,2,16,37,4,1,Black,3010,wall
169,2,16,40,3,1,Black,3622,wall
170,2,16,48,3,1,White,3622,wall
171,2,18,20,1,3,Black,3622,wall
172,2,18,25,1,3,Black,3622,wall
173,2,18,29,1,2,Black,3004,wall
174,2,18,32,1,2,Black,3004,wall
175,2,18,35,1,2,Black,3004,wall
176,2,19,22,2,1,Black,3004,wall
177,2,19,48,2,1,Black,3004,wall
178,2,20,15,1,4,Black,3010,wall
179,2,20,19,1,3,Black,3622,wall
180,2,20,24,4,1,Black,3010,wall
181,2,20,31,4,1,Black,3010,wall
182,2,20,37,4,1,Black,3010,wall
183,2,20,40,1,4,Black,3010,wall
184,2,20,45,1,3,Black,3622,wall
185,2,21,15,4,1,Black,3010,wall
186,2,21,40,4,1,Black,3010,wall
187,2,21,43,3,1,Black,3622,wall
188,2,21,48,1,1,White,3005,wall
189,2,22,22,3,1,Black,3622,wall
190,2,22,48,2,1,Black,3004,wall
191,2,23,16,1,4,Black,3010,wall
192,2,23,20,1,2,Black,3004,wall
193,2,23,41,1,2,Black,3004,wall
194,2,23,44,1,4,Black,3010,wall
195,2,24,24,4,1,Black,3010,wall
196,2,24,31,4,1,Black,3010,wall
197,2,24,37,4,1,Black,3010,wall
198,2,24,44,4,1,Black,3010,wall
199,2,24,48,2,1,White,3004,wall
200,2,25,15,3,1,Black,3622,wall
201,2,25,41,1,3,Black,3622,wall
202,2,26,22,2,1,Black,3004,wall
203,2,26,40,3,1,Black,3622,wall
204,2,26,48,3,1,Black,3622,wall
205,2,27,16,1,4,Black,3010,wall
206,2,27,20,1,2,Black,3004,wall
207,2,28,15,1,1,White,3005,wall
208,2,28,21,3,1,Black,3622,wall
209,2,28,24,3,1,Black,3622,wall
210,2,28,31,3,1,Black,3622,wall
211,2,28,37,2,1,Black,3004,wall
212,2,28,41,1,3,Black,3622,wall
213,2,28,45,1,3,Black,3622,wall
214,2,29,19,2,1,Black,3004,wall
215,2,30,15,1,4,Black,3010,wall
216,2,30,20,1,1,Black,3005,wall
217,2,30,22,1,2,Black,3004,wall
218,2,30,26,1,4,Black,3010,wall
219,2,30,30,1,1,Black,3005,wall
220,2,30,32,1,4,Black,3010,wall
221,2,30,36,1,1,Black,3005,wall
222,2,30,38,1,1,Black,3005,wall
223,2,31,15,2,1,Black,3004,wall
224,2,31,22,1,1,Black,3005,wall
225,2,31,48,2,1,Black,3004,wall
226,2,33,15,1,1,White,3005,wall
227,2,34,14,1,4,Black,3010,wall
228,2,34,18,1,4,Black,3010,wall
229,2,34,22,4,1,Black,3010,wall
230,2,34,24,1,4,Black,3010,wall
231,2,34,28,1,4,Black,3010,wall
232,2,34,32,1,4,Black,3010,wall
233,2,34,36,1,4,Black,3010,wall
234,2,34,40,1,4,Black,3010,wall
235,2,34,44,1,4,Black,3010,wall
236,2,34,49,1,4,Black,3010,wall
237,2,34,53,1,3,Black,3622,wall
238,2,35,14,2,1,White,3004,wall
239,2,35,24,3,1,Black,3622,wall
240,2,35,48,1,1,Black,3005,wall
241,2,35,55,4,1,Black,3010,wall
242,2,37,14,3,1,Black,3622,wall
243,2,38,22,1,1,Black,3005,wall
244,2,39,15,1,4,Black,3010,wall
245,2,39,19,1,3,Black,3622,wall
246,2,39,55,4,1,Black,3010,wall
247,2,40,14,3,1,White,3622,wall
248,2,40,22,4,1,Black,3010,wall
249,2,40,24,4,1,Black,3010,wall
250,2,43,14,1,1,Black,3005,wall
251,2,43,55,4,1,Black,3010,wall
252,2,44,24,4,1,Black,3010,wall
253,2,45,14,1,4,Black,3010,wall
254,2,45,18,1,4,Black,3010,wall
255,2,45,22,3,1,Black,3622,wall
256,2,46,14,3,1,Black,3622,wall
257,2,46,18,4,1,Black,3010,wall
258,2,47,55,4,1,Black,3010,wall
259,2,48,8,1,3,Black,3622,wall
260,2,48,13,1,1,Black,3005,wall
261,2,48,15,1,2,Black,3004,wall
262,2,48,19,1,3,Black,3622,wall
263,2,48,24,4,1,Black,3010,wall
264,2,49,8,2,1,Black,3004,wall
265,2,49,22,1,1,Black,3005,wall
266,2,50,18,1,1,Black,3005,wall
267,2,51,8,2,1,White,3004,wall
268,2,51,18,4,1,White,3010,wall
269,2,51,55,4,1,Black,3010,wall
270,2,52,24,4,1,Black,3010,wall
271,2,53,8,3,1,Black,3622,wall
272,2,55,18,3,1,White,3622,wall
273,2,55,55,4,1,Black,3010,wall
274,2,56,8,3,1,White,3622,wall
275,2,56,24,4,1,Black,3010,wall
276,2,58,18,1,1,Black,3005,wall
277,2,59,8,1,1,Black,3005,wall
278,2,59,55,2,1,Black,3004,wall
279,2,60,7,1,1,Black,3005,wall
280,2,60,9,1,4,Black,3010,wall
281,2,60,13,1,4,Black,3010,wall
282,2,60,17,1,2,Black,3004,wall
283,2,60,24,1,4,Black,3010,wall
284,2,60,28,1,4,Black,3010,wall
285,2,60,32,1,4,Black,3010,wall
286,2,60,36,1,4,Black,3010,wall
287,2,60,40,1,4,Black,3010,wall
288,2,60,44,1,4,Black,3010,wall
289,2,60,48,1,4,Black,3010,wall
290,2,60,52,1,3,Black,3622,wall
291,2,61,8,2,1,Black,3004,wall
292,2,61,39,4,1,White,3010,wall
293,2,63,8,4,1,White,3010,wall
294,2,65,39,4,1,White,3010,wall
295,2,67,8,4,1,White,3010,wall
296,2,69,39,4,1,White,3010,wall
297,2,71,8,1,1,White,3005,wall
298,2,72,8,1,4,Black,3010,wall
299,2,72,13,4,1,Black,3010,wall
300,2,72,14,1,2,Black,3004,wall
301,2,73,8,3,1,White,3622,wall
302,2,73,39,3,1,White,3622,wall
303,2,76,8,1,1,Black,3005,wall
304,2,76,9,1,4,White,3010,wall
305,2,76,13,1,4,White,3010,wall
306,2,76,17,1,2,White,3004,wall
307,2,76,19,1,1,Black,3005,wall
308,2,76,22,1,1,White,3005,wall
309,2,76,23,1,1,Black,3005,wall
310,2,76,24,1,4,White,3010,wall
311,2,76,28,1,4,White,3010,wall
312,2,76,32,1,4,White,3010,wall
313,2,76,36,1,3,White,3622,wall
314,2,76,39,1,1,Black,3005,wall
315,2,77,18,3,1,White,3622,wall
316,2,77,23,2,1,White,3004,wall
317,2,79,19,1,1,Black,3005,wall
318,2,79,22,1,1,White,3005,wall
319,2,79,23,1,1,Black,3005,wall
320,3,15,37,1,4,Black,3010,door lintel
321,3,18,40,3,1,Black,3622,door lintel
322,3,24,40,3,1,Black,3622,door lintel
323,3,20,43,1,3,Black,3622,door lintel
324,3,28,43,1,3,Black,3622,door lintel
325,3,28,48,4,1,Black,3010,door lintel
326,3,32,48,4,1,Black,3010,door lintel
327,3,30,36,1,3,Black,3622,door lintel
328,3,30,24,1,3,Black,3622,door lintel
329,3,18,33,1,3,Black,3622,door lintel
330,3,18,27,1,3,Black,3622,door lintel
331,3,28,15,3,1,Black,3622,door lintel
332,3,18,22,1,3,Black,3622,door lintel
333,3,20,22,3,1,Black,3622,door lintel
334,3,24,22,3,1,Black,3622,door lintel
335,3,27,19,3,1,Black,3622,door lintel
336,3,31,22,4,1,Black,3010,door lintel
337,3,37,24,4,1,Black,3010,door lintel
338,3,38,22,3,1,Black,3622,door lintel
339,3,43,22,3,1,Black,3622,door lintel
340,3,47,22,3,1,Black,3622,door lintel
341,3,43,14,3,1,Black,3622,door lintel
342,3,48,16,1,3,Black,3622,door lintel
343,3,48,10,1,4,Black,3010,door lintel
344,3,58,18,3,1,Black,3622,door lintel
345,3,60,7,1,3,Black,3622,door lintel
346,3,76,19,1,4,Black,3010,door lintel
347,3,79,19,1,4,Black,3010,door lintel
348,3,72,11,1,3,Black,3622,door lintel
349,3,48,8,3,1,Black,3622,wall
350,3,51,8,2,1,White,3004,wall
351,3,53,8,3,1,Black,3622,wall
352,3,56,8,3,1,White,3622,wall
353,3,59,8,1,1,Black,3005,wall
354,3,61,8,2,1,Black,3004,wall
355,3,63,8,4,1,White,3010,wall
356,3,67,8,4,1,White,3010,wall
357,3,71,8,1,1,White,3005,wall
358,3,72,8,1,3,Black,3622,wall
359,3,73,8,3,1,White,3622,wall
360,3,76,8,1,1,Black,3005,wall
361,3,48,9,1,1,Black,3005,wall
362,3,76,9,1,4,White,3010,wall
363,3,60,10,1,4,Black,3010,wall
364,3,73,13,3,1,Black,3622,wall
365,3,76,13,1,4,White,3010,wall
366,3,34,14,1,4,Black,3010,wall
367,3,35,14,2,1,White,3004,wall
368,3,37,14,3,1,Black,3622,wall
369,3,40,14,3,1,White,3622,wall
370,3,46,14,3,1,Black,3622,wall
371,3,60,14,1,4,Black,3010,wall
372,3,72,14,1,2,Black,3004,wall
373,3,15,15,4,1,Black,3010,wall
374,3,19,15,4,1,Black,3010,wall
375,3,23,15,4,1,Black,3010,wall
376,3,27,15,1,4,Black,3010,wall
377,3,31,15,2,1,Black,3004,wall
378,3,33,15,1,1,White,3005,wall
379,3,39,15,1,4,Black,3010,wall
380,3,45,15,1,4,Black,3010,wall
381,3,48,15,1,1,Black,3005,wall
382,3,15,16,1,4,Black,3010,wall
383,3,20,16,1,4,Black,3010,wall
384,3,23,16,1,4,Black,3010,wall
385,3,30,16,1,4,Black,3010,wall
386,3,76,17,1,2,White,3004,wall
387,3,34,18,1,4,Black,3010,wall
388,3,46,18,2,1,Black,3004,wall
389,3,49,18,2,1,Black,3004,wall
390,3,51,18,4,1,White,3010,wall
391,3,55,18,3,1,White,3622,wall
392,3,77,18,3,1,White,3622,wall
393,3,16,19,4,1,Black,3010,wall
394,3,39,19,1,3,Black,3622,wall
395,3,45,19,1,3,Black,3622,wall
396,3,48,19,1,3,Black,3622,wall
397,3,15,20,1,4,Black,3010,wall
398,3,18,20,1,2,Black,3004,wall
399,3,20,20,1,2,Black,3004,wall
400,3,23,20,1,3,Black,3622,wall
401,3,27,20,1,3,Black,3622,wall
402,3,30,20,1,4,Black,3010,wall
403,3,28,21,2,1,Black,3004,wall
404,3,19,22,1,1,Black,3005,wall
405,3,35,22,3,1,Black,3622,wall
406,3,41,22,2,1,Black,3004,wall
407,3,46,22,1,1,Black,3005,wall
408,3,76,23,1,1,Black,3005,wall
409,3,77,23,2,1,White,3004,wall
410,3,79,23,1,1,Black,3005,wall
411,3,15,24,1,4,Black,3010,wall
412,3,16,24,2,1,Black,3004,wall
413,3,19,24,4,1,Black,3010,wall
414,3,23,24,4,1,Black,3010,wall
415,3,27,24,3,1,Black,3622,wall
416,3,34,24,1,4,Black,3010,wall
417,3,35,24,2,1,Black,3004,wall
418,3,41,24,4,1,Black,3010,wall
419,3,45,24,4,1,Black,3010,wall
420,3,49,24,4,1,Black,3010,wall
421,3,53,24,4,1,Black,3010,wall
422,3,57,24,4,1,Black,3010,wall
423,3,76,24,1,4,White,3010,wall
424,3,18,25,1,2,Black,3004,wall
425,3,60,25,1,4,Black,3010,wall
426,3,30,27,1,4,Black,3010,wall
427,3,15,28,1,4,Black,3010,wall
428,3,34,28,1,4,Black,3010,wall
429,3,76,28,1,4,White,3010,wall
430,3,60,29,1,4,Black,3010,wall
431,3,18,30,1,3,Black,3622,wall
432,3,16,31,2,1,Black,3004,wall
433,3,19,31,4,1,Black,3010,wall
434,3,23,31,4,1,Black,3010,wall
435,3,27,31,4,1,Black,3010,wall
436,3,15,32,1,4,Black,3010,wall
437,3,30,32,1,4,Black,3010,wall
438,3,34,32,1,4,Black,3010,wall
439,3,76,32,1,4,White,3010,wall
440,3,60,33,1,4,Black,3010,wall
441,3,15,36,1,1,Black,3005,wall
442,3,18,36,1,2,Black,3004,wall
443,3,34,36,1,4,Black,3010,wall
444,3,76,36,1,3,White,3622,wall
445,3,16,37,2,1,Black,3004,wall
446,3,19,37,4,1,Black,3010,wall
447,3,23,37,4,1,Black,3010,wall
448,3,27,37,3,1,Black,3622,wall
449,3,60,37,1,4,Black,3010,wall
450,3,61,39,4,1,White,3010,wall
451,3,65,39,4,1,White,3010,wall
452,3,69,39,4,1,White,3010,wall
453,3,73,39,3,1,White,3622,wall
454,3,76,39,1,1,Black,3005,wall
455,3,16,40,2,1,Black,3004,wall
456,3,21,40,3,1,Black,3622,wall
457,3,27,40,2,1,Black,3004,wall
458,3,34,40,1,4,Black,3010,wall
459,3,15,41,1,4,Black,3010,wall
460,3,20,41,1,2,Black,3004,wall
461,3,23,41,1,4,Black,3010,wall
462,3,25,41,1,4,Black,3010,wall
463,3,28,41,1,2,Black,3004,wall
464,3,60,41,1,4,Black,3010,wall
465,3,21,43,2,1,Black,3004,wall
466,3,24,44,1,1,Black,3005,wall
467,3,26,44,2,1,Black,3004,wall
468,3,34,44,1,4,Black,3010,wall
469,3,15,45,1,4,Black,3010,wall
470,3,23,45,1,4,Black,3010,wall
471,3,60,45,1,4,Black,3010,wall
472,3,20,46,1,3,Black,3622,wall
473,3,28,46,1,2,Black,3004,wall
474,3,16,48,3,1,White,3622,wall
475,3,19,48,1,1,Black,3005,wall
476,3,21,48,1,1,White,3005,wall
477,3,22,48,1,1,Black,3005,wall
478,3,24,48,2,1,White,3004,wall
479,3,26,48,2,1,Black,3004,wall
480,3,34,49,1,4,Black,3010,wall
481,3,60,49,1,4,Black,3010,wall
482,3,34,53,1,3,Black,3622,wall
483,3,60,53,1,3,Black,3622,wall
484,3,35,55,4,1,Black,3010,wall
485,3,39,55,4,1,Black,3010,wall
486,3,43,55,4,1,Black,3010,wall
487,3,47,55,4,1,Black,3010,wall
488,3,51,55,4,1,Black,3010,wall
489,3,55,55,4,1,Black,3010,wall
490,3,59,55,1,1,Black,3005,wall
491,4,15,15,1,4,Black,3010,wall
492,4,15,19,1,4,Black,3010,wall
493,4,15,23,1,4,Black,3010,wall
494,4,15,27,1,4,Black,3010,wall
495,4,15,31,1,4,Black,3010,wall
496,4,15,35,1,4,Black,3010,wall
497,4,15,39,1,4,Black,3010,wall
498,4,15,43,1,4,Black,3010,wall
499,4,15,47,1,2,Black,3004,wall
500,4,16,15,4,1,Black,3010,wall
501,4,16,19,4,1,Black,3010,wall
502,4,16,24,4,1,Black,3010,wall
503,4,16,31,4,1,Black,3010,wall
504,4,16,37,4,1,Black,3010,wall
505,4,16,40,4,1,Black,3010,wall
506,4,16,48,4,1,Black,3010,wall
507,4,18,20,1,4,Black,3010,wall
508,4,18,25,1,4,Black,3010,wall
509,4,18,29,1,2,Black,3004,wall
510,4,18,32,1,4,Black,3010,wall
511,4,18,36,1,1,Black,3005,wall
512,4,19,22,4,1,Black,3010,wall
513,4,20,15,1,4,Black,3010,wall
514,4,20,19,1,3,Black,3622,wall
515,4,20,24,4,1,Black,3010,wall
516,4,20,31,4,1,Black,3010,wall
517,4,20,37,4,1,Black,3010,wall
518,4,20,40,1,4,Black,3010,wall
519,4,20,44,1,4,Black,3010,wall
520,4,20,48,4,1,Black,3010,wall
521,4,21,15,4,1,Black,3010,wall
522,4,21,40,4,1,Black,3010,wall
523,4,21,43,3,1,Black,3622,wall
524,4,23,16,1,4,Black,3010,wall
525,4,23,20,1,3,Black,3622,wall
526,4,23,41,1,2,Black,3004,wall
527,4,23,44,1,4,Black,3010,wall
528,4,24,22,4,1,Black,3010,wall
529,4,24,24,4,1,Black,3010,wall
530,4,24,31,4,1,Black,3010,wall
531,4,24,37,4,1,Black,3010,wall
532,4,24,44,4,1,Black,3010,wall
533,4,24,48,4,1,Black,3010,wall
534,4,25,15,4,1,Black,3010,wall
535,4,25,40,1,4,Black,3010,wall
536,4,26,40,3,1,Black,3622,wall
537,4,27,16,1,4,Black,3010,wall
538,4,27,20,1,2,Black,3004,wall
539,4,28,19,3,1,Black,3622,wall
540,4,28,21,3,1,Black,3622,wall
541,4,28,24,3,1,Black,3622,wall
542,4,28,31,3,1,Black,3622,wall
543,4,28,37,3,1,Black,3622,wall
544,4,28,41,1,4,Black,3010,wall
545,4,28,45,1,4,Black,3010,wall
546,4,29,15,4,1,Black,3010,wall
547,4,29,48,4,1,Black,3010,wall
548,4,30,16,1,3,Black,3622,wall
549,4,30,20,1,1,Black,3005,wall
550,4,30,22,4,1,Black,3010,wall
551,4,30,23,1,1,Black,3005,wall
552,4,30,25,1,4,Black,3010,wall
553,4,30,29,1,2,Black,3004,wall
554,4,30,32,1,4,Black,3010,wall
555,4,30,36,1,1,Black,3005,wall
556,4,30,38,1,1,Black,3005,wall
557,4,33,15,2,1,Black,3004,wall
558,4,33,48,3,1,Black,3622,wall
559,4,34,14,4,1,Black,3010,wall
560,4,34,16,1,4,Black,3010,wall
561,4,34,20,1,3,Black,3622,wall
562,4,34,24,1,4,Black,3010,wall
563,4,34,28,1,4,Black,3010,wall
564,4,34,32,1,4,Black,3010,wall
565,4,34,36,1,4,Black,3010,wall
566,4,34,40,1,4,Black,3010,wall
567,4,34,44,1,4,Black,3010,wall
568,4,34,49,1,4,Black,3010,wall
569,4,34,53,1,3,Black,3622,wall
570,4,35,22,4,1,Black,3010,wall
571,4,35,24,4,1,Black,3010,wall
572,4,35,55,4,1,Black,3010,wall
573,4,38,14,4,1,Black,3010,wall
574,4,39,15,1,4,Black,3010,wall
575,4,39,19,1,4,Black,3010,wall
576,4,39,24,4,1,Black,3010,wall
577,4,39,55,4,1,Black,3010,wall
578,4,40,22,4,1,Black,3010,wall
579,4,42,14,4,1,Black,3010,wall
580,4,43,24,4,1,Black,3010,wall
581,4,43,55,4,1,Black,3010,wall
582,4,44,22,4,1,Black,3010,wall
583,4,45,15,1,4,Black,3010,wall
584,4,45,19,1,3,Black,3622,wall
585,4,46,14,3,1,Black,3622,wall
586,4,46,18,4,1,Black,3010,wall
587,4,47,24,4,1,Black,3010,wall
588,4,47,55,4,1,Black,3010,wall
589,4,48,8,1,4,Black,3010,wall
590,4,48,12,1,2,Black,3004,wall
591,4,48,15,1,3,Black,3622,wall
592,4,48,19,1,4,Black,3010,wall
593,4,49,8,4,1,Black,3010,wall
594,4,49,22,1,1,Black,3005,wall
595,4,50,18,4,1,Black,3010,wall
596,4,51,24,4,1,Black,3010,wall
597,4,51,55,4,1,Black,3010,wall
598,4,53,8,4,1,Black,3010,wall
599,4,54,18,4,1,Black,3010,wall
600,4,55,24,4,1,Black,3010,wall
601,4,55,55,4,1,Black,3010,wall
602,4,57,8,4,1,Black,3010,wall
603,4,58,18,3,1,Black,3622,wall
604,4,59,24,2,1,Black,3004,wall
605,4,59,55,2,1,Black,3004,wall
606,4,60,7,1,1,Black,3005,wall
607,4,60,9,1,4,Black,3010,wall
608,4,60,13,1,4,Black,3010,wall
609,4,60,17,1,1,Black,3005,wall
610,4,60,25,1,4,Black,3010,wall
611,4,60,29,1,4,Black,3010,wall
612,4,60,33,1,4,Black,3010,wall
613,4,60,37,1,4,Black,3010,wall
614,4,60,41,1,4,Black,3010,wall
615,4,60,45,1,4,Black,3010,wall
616,4,60,49,1,4,Black,3010,wall
617,4,60,53,1,2,Black,3004,wall
618,4,61,8,4,1,Black,3010,wall
619,4,61,39,4,1,Black,3010,wall
620,4,65,8,4,1,Black,3010,wall
621,4,65,39,4,1,Black,3010,wall
622,4,69,8,4,1,Black,3010,wall
623,4,69,39,4,1,Black,3010,wall
624,4,72,9,1,4,Black,3010,wall
625,4,72,13,4,1,Black,3010,wall
626,4,72,14,1,2,Black,3004,wall
627,4,73,8,4,1,Black,3010,wall
628,4,73,39,4,1,Black,3010,wall
629,4,76,9,1,4,Black,3010,wall
630,4,76,13,1,4,Black,3010,wall
631,4,76,17,1,4,Black,3010,wall
632,4,76,21,1,4,Black,3010,wall
633,4,76,25,1,4,Black,3010,wall
634,4,76,29,1,4,Black,3010,wall
635,4,76,33,1,4,Black,3010,wall
636,4,76,37,1,2,Black,3004,wall
637,4,77,18,3,1,Black,3622,wall
638,4,77,23,3,1,Black,3622,wall
639,4,79,19,1,4,Black,3010,wall
640,1,63,28,2,2,Dark bluish gray,3003,commons seat
641,1,70,28,2,2,Dark bluish gray,3003,commons seat
642,1,63,34,2,2,Dark bluish gray,3003,commons seat
643,1,70,34,2,2,Dark bluish gray,3003,commons seat
644,1,52,10,2,4,Tan,3001,iLab fabrication bench
645,1,52,14,2,4,Tan,3001,iLab fabrication bench
646,1,57,10,2,4,Tan,3001,iLab collaboration table
647,1,57,14,2,4,Tan,3001,iLab collaboration table
648,1,54,11,2,2,Dark bluish gray,3003,iLab equipment
649,2,54,11,2,2,Dark bluish gray,3003,iLab equipment
650,1,50,15,2,2,Dark bluish gray,3003,iLab equipment
651,2,50,15,2,2,Dark bluish gray,3003,iLab equipment
652,1,73,25,2,2,Tan,3003,cafe counter
653,1,73,14,2,2,Tan,3003,reception
654,1,31,17,2,2,Light bluish gray,3003,stair step
655,1,31,19,2,2,Light bluish gray,3003,stair step
656,2,31,19,2,2,Light bluish gray,3003,stair step
